,Domaine,Titre,Definition,Competences_Emploi,Acces_Emploi,Appellations
0,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,conduite d'engins agricoles et forestiers a1101,realise des travaux mecanises agricoles  sylvicoles ou forestiers (preparation des sols  semis  recolte  abattage d'arbres  ...) selon les objectifs de production (quantite  qualite  ...)  la commande du client  les regles d'hygiene  de securite et la reglementation environnementale. ,competences de base savoir-faire savoirs preparer le materiel  les materiaux et les outillages identifier le type d'intervention securiser un equipement atteler un equipement conduire les engins agricoles vers le lieu de production (champs  foret)  de stockage  de livraison (fermes  cooperatives) materialiser une implantation de parcelle ou de passage approvisionner des engins d'exploitation realiser une operation de maintenance procedures de maintenance de materiel procedures de maintenance de locaux pneumatique utilisation de systeme informatique (embarque ou fixe) utilisation d'engins forestiers mecanique techniques culturales techniques de preservation de la biodiversite biologie vegetale engins agricoles regles de securite utilisation d'outillages manuels techniques de soudage gestes et postures de manutention normes environnementales agronomie hydraulique ,cap bep agricole production agricole agroequipement forestier travaux forestiers avec_experience meme sans_diplome_certificat specialisation agricole csa tracteurs machines agricoles utilisation maintenance acces bac bts selon technicite engins utilises permis c c1 c1e precedemment c ec,chauffeur   chauffeuse de machines agricoles conducteur   conductrice d'abatteuses conducteur   conductrice d'automoteur de recolte conducteur   conductrice d'engins d'exploitation agricole conducteur   conductrice d'engins d'exploitation forestiere conducteur   conductrice d'engins de debardage conducteur   conductrice d'engins forestiers conducteur   conductrice d'epareuse conducteur   conductrice de machines a vendanger conducteur   conductrice de materiels de semis conducteur   conductrice de pulverisateur conducteur   conductrice de tete d'abattage conducteur   conductrice de tracteur conducteur   conductrice de tracteur enjambeur conducteur   conductrice de tracto-benne debardeur   debardeuse debardeur forestier   debardeuse forestiere operateur   operatrice d'abatteuse operateur   operatrice d'epandage pilote de machines d'abattage tractoriste agricole tractoriste forestier   tractoriste forestiere 
1,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,bucheronnage et elagage a1201,realise des operations de coupe et d'entretien d'arbres (abattage  elagage  taille ...) sur sites forestiers  voies departementales  parcs et jardins  ...  selon les regles de securite  les normes environnementales et les imperatifs de production (delais  quantites  ...). peut debarder les grumes. peut estimer la valeur de coupes. peut diriger une equipe ou diriger une entreprise de bucheronnage  d'elagage  d'espaces verts. ,competences de base savoir-faire savoirs recenser les arbres a couper ou elaguer determiner l'abattage ou l'elagage selon la trajectoire de chute des arbres en prenant en compte l'environnement et les conditions climatiques organiser l'abattage d'un arbre ou d'une branche realiser l'abattage des arbres designes (positionnement des coins  tronconnage de la base  ...) selon la trajectoire de chute voulue elaguer les branches d'un arbre tailler les arbres selon l'orientation de croissance ou la forme recherchee et supprimer les branches indesirables debiter un arbre selon son usage entretenir des equipements assurer une maintenance de premier niveau realiser un suivi d'activite systeme de retention d'un arbre techniques d'ebranchage physiologie vegetale caracteristiques des ecosystemes techniques de taille de vegetaux techniques de coupe et d'abattage techniques de grimper techniques d'haubanage utilisation d'engins forestiers regles de securite utilisation d'outils de taille engins agricoles techniques d'affutage techniques de soudage gestes et postures de manutention ,"cap bep agricole travaux forestiers bucheronnage certificat specialisation ""diagnostic taille arbres"" avec_experience meme sans_diplome diplome_bac bac brevet_technicien agricole gestion conduite_travaux forestiers fonctions encadrement",arboriste arboriste grimpeur   grimpeuse bucheron   bucheronne bucheron elagueur   bucheronne elagueuse charbonnier   charbonniere commis   commise de coupe ehouppeur   ehouppeuse elagueur   elagueuse elagueur   elagueuse espaces verts elagueur-botteur   elagueuse-botteuse elagueur-grimpeur   elagueuse-grimpeuse grimpeur-elagueur   grimpeuse-elagueuse homme   femme de pied ouvrier   ouvriere d'exploitation forestiere 
2,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,entretien des espaces naturels a1202,amenage et entretient des ecosystemes (espaces naturels) afin de preserver leurs qualites biologiques selon les regles de securite et la reglementation environnementale. peut installer des equipements de preservation du littoral. peut coordonner une equipe. ,competences de base savoir-faire savoirs preparer le materiel  les materiaux et les outillages identifier le type d'intervention entretenir un espace exterieur collecter des dechets assurer une maintenance de premier niveau entretenir des equipements installer un element de protection d'espace naturel preparer les sols et les plantations (epandage  semis  recolte  ...) techniques de debroussaillage techniques de fauchage techniques de faucardage caracteristiques des ecosystemes pedologie (formation  evolution et caracteristiques des sols  ...) techniques culturales techniques de maconnerie botanique normes environnementales reglementation des espaces et especes proteges classification des especes animales lecture de plan  de schema techniques de taille de vegetaux ,cap bep domaine environnement agriculture avec_experience sans_diplome_vaccination anti tetanique certificat aptitude_conduite_securite caces aptitude_medicale periodiquement permis be c c1 precedemment eb c,agent   agente d'amenagement des circuits pedestres  equestres et vtt agent   agente d'amenagement des haies et fosses agent   agente d'entretien de l'espace rural agent   agente d'entretien de la nature agent   agente d'entretien des espaces naturels agent   agente d'entretien des rivieres agent   agente d'entretien nature du littoral agent   agente d'entretien nature et biodiversite chef d'equipe d'entretien d'espaces naturels ouvrier   ouvriere d'entretien des espaces naturels ouvrier   ouvriere de genie ecologique 
3,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,amenagement et entretien des espaces verts a1203,amenage et entretient des espaces verts (parcs  jardins  terrains de sport  ...) et des decors vegetaux d'interieur ou d'exterieur (bureaux  commerces  halls d'accueil  murs vegetaux  ...) selon les regles de securite et la reglementation environnementale. peut amenager des ouvrages paysagers  des ouvrages maconnes et installer du mobilier urbain. peut coordonner une equipe. ,competences de base savoir-faire savoirs securiser le chantier et son environnement (signalisation  ...) preparer les sols et les plantations (epandage  semis  recolte  ...) entretenir un element de decoration entretenir un espace exterieur tailler les arbres selon l'orientation de croissance ou la forme recherchee et supprimer les branches indesirables assurer une maintenance de premier niveau entretenir des equipements botanique utilisation d'outils de taille utilisation d'engins de tonte (autotracte autoporte) lecture de plan  de schema pedologie (formation  evolution et caracteristiques des sols  ...) hydraulique techniques d'engazonnement techniques de taille de vegetaux techniques culturales techniques d'affutage techniques de preservation de la biodiversite techniques de terrassement techniques de maconnerie paysagere reglementation phytosanitaire ,cap bep agricole horticulture travaux paysagers avec_experience sans_diplome_avec_diplome_autre bac bts agricole horticulture travaux paysagers fonctions encadrement recrutements contrat_travail saisonnier duree_determinee vacation certificat aptitude_conduite_securite caces aptitude_medicale periodiquement permis be c c1 precedemment eb c,agent   agente d'entretien des parcs et jardins aide jardinier   jardiniere chef d'equipe d'entretien des espaces verts chef d'equipe paysagiste jardinier   jardiniere jardinier   jardiniere d'espaces verts jardinier   jardiniere paysagiste manoeuvre des espaces verts ouvrier   ouvriere d'entretien des espaces verts ouvrier   ouvriere des espaces verts ouvrier   ouvriere du paysage ouvrier   ouvriere paysagiste technicien   technicienne paysagiste 
4,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,protection du patrimoine naturel a1204,effectue la surveillance de site (espaces naturels  proteges  ...) et veille a la sauvegarde du patrimoine naturel (reserve naturelle  forets  littoral  ...) selon les directives institutionnelles  la reglementation environnementale (loi de protection du littoral  ...) et les regles de securite. peut sensibiliser differents publics a la protection de l'environnement  ou mettre en place la securisation du public. peut coordonner une equipe. ,competences de base savoir-faire savoirs etudier les evolutions de la faune et de la flore dans les milieux naturels surveiller un espace naturel pour la prevention des risques d'accidents  de pollution  d'incendie diagnostiquer l'etat d'un site et definir les priorites d'action au sein des milieux inventories deployer les directives du ministere et des collectivites pour la protection et la valorisation des milieux naturels par reintroduction d'especes  restauration de plages ... etablir un rapport d'intervention etablir un rapport d'etude sensibiliser tous les publics a la protection et la sauvegarde du patrimoine naturel apporter une assistance technique caracteristiques des ecosystemes techniques pedagogiques normes environnementales normes de securite des espaces et des etablissements recevant du public botanique ecologie classification des especes animales protection et sauvegarde du milieu naturel prevention des risques environnementaux droit forestier droit rural reglementation des espaces et especes proteges reglementation de la chasse reglementation de la peche utilisation de materiel de capture (seringue hypodermique  ...) outils bureautiques ,cap bep agricole amenagement espaces naturels brevet_technicien agricole amenagement espace gestion faune sauvage bts agricole gestion protection nature postes technicien cynegetique diplome_bac bac + 2 bts dut domaines eau protection environnement postes technicien riviere bonne condition physique acuite visuelle,agent   agente technique des parcs nationaux agent charge   agente chargee de protection et de sauvegarde du patrimoine naturel eco garde garde-chasse garde-chasse particulier   particuliere garde de parc naturel garde du littoral garde forestier   forestiere garde moniteur   monitrice de parc national garde moniteur   monitrice de parc naturel garde national   nationale de la chasse et de la faune sauvage garde-peche garde-riviere garde technicien   technicienne de reserve naturelle observateur   observatrice des peches technicien   technicienne cynegetique technicien   technicienne de riviere 
5,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,sylviculture a1205,met en oeuvre les operations sylvicoles sur des parcelles forestieres (depressage  eclaircies  plantation  elagage sylvicole  ...) selon les regles d'hygiene et de securite  les objectifs d'exploitation (commerciaux  qualitatifs  ...) et les normes environnementales. peut effectuer des travaux d'amenagement de la foret et des voies forestieres. peut coordonner une equipe ou diriger une exploitation forestiere. ,competences de base savoir-faire savoirs preparer le materiel  les materiaux et les outillages identifier le type d'intervention planter un arbre ou un cep (arrachage  greffe  palissage  ...) installer un element de protection sur une plantation installer un tuteur de croissance controler l'etat d'une plantation debroussailler une plantation et ses chemins d'acces tailler les arbres selon l'orientation de croissance ou la forme recherchee et supprimer les branches indesirables identifier la cause d'une anomalie surveiller l'etat sanitaire d'un arbre classer les arbres d'un site d'exploitation recenser les arbres d'un site d'exploitation assurer une maintenance de premier niveau entretenir des equipements droit forestier pratique d'enherbement droit rural regles de securite lecture de carte techniques de marquage techniques d'elagage normes environnementales techniques de cubage botanique caracteristiques des parasites animaux et vegetaux caracteristiques des ecosystemes techniques de taille de vegetaux techniques de comptage utilisation d'outils de taille ,cap bep agricole travaux forestiers sylviculture avec_experience meme sans_diplome diplome_bac bac brevet_technicien agricole bac+2 bts agricole gestion conduite_travaux forestiers fonctions encadrement vaccinations anti rabique requises,agent   agente de maitrise d'exploitation forestiere agent technique forestier   agente technique forestiere chef d'equipe de travaux forestiers chef de district forestier conducteur   conductrice de travaux forestiers contremaitre   contremaitresse d'exploitation forestiere exploitant forestier   exploitante forestiere forestier   forestiere manoeuvre forestier   forestiere ouvrier forestier   ouvriere forestiere ouvrier sylvicole   ouvriere sylvicole ouvrier sylviculteur   ouvriere sylvicultrice populiculteur   populicultrice sylviculteur   sylvicultrice 
6,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,conseil et assistance technique en agriculture et environnement naturel a1301,conseille et assiste techniquement les professionnels de l'agriculture  de l'aquaculture  de la sylviculture ou de l'elevage selon les orientations institutionnelles (preservation du patrimoine naturel  ...)  les projets d'amenagement du territoire (dispositif de gestion de l'eau ...) ou d'implantation d'exploitation agricole et d'elevage  et la reglementation environnementale. peut former et sensibiliser differents publics. peut realiser des prelevements d'echantillons. peut coordonner une equipe. ,competences de base savoir-faire savoirs determiner des besoins en financement analyser les resultats d'une experimentation mettre en place des actions correctives et preventives identifier une anomalie de reaction ou developpement d'une exploitation agricole concevoir un plan d'action de projet planifier les etapes d'un projet concevoir les solutions technico-economiques (reprise d'exploitation  reconversion  ...) adaptees aux problematiques d'un site de production (environnement  pollution  rendements  ...) etablir un compte rendu d'analyse concevoir des procedures de tests reglementation sanitaire typologie des risques environnementaux et sanitaires normes environnementales caracteristiques des ecosystemes ecologie pisciculture agriculture biologique techniques culturales production animale droit rural droit forestier fiscalite veille informationnelle gestion comptable gestion administrative logiciels de gestion de base de donnees genie rural ,bts agricole agriculture genie rural environnement master diplome_ingenieur master recherche droit rural ecole_commerce postes conseillers acces collectivites territoriales organismes publics effectue concours,animateur   animatrice agricole animateur   animatrice d'organismes agricoles conseiller   conseillere agricole conseiller   conseillere d'agriculture conseiller   conseillere d'elevage en production laitiere conseiller   conseillere de gestion agricole conseiller   conseillere en genie climatique agricole conseiller   conseillere en irrigation conseiller   conseillere en machinisme agricole conseiller   conseillere technique agricole conseiller   conseillere viticole conseiller forestier   conseillere forestiere hydraulicien   hydraulicienne en agriculture technicien   technicienne arboricole technicien   technicienne avicole technicien   technicienne batiments d'elevage technicien   technicienne bovin technicien   technicienne caprin technicien   technicienne cunicole technicien   technicienne d'agriculture technicien   technicienne d'elevage technicien   technicienne d'experimentation technicien   technicienne de culture maraichere technicien   technicienne de genie ecologique technicien   technicienne de maintenance vegetale technicien   technicienne de production animale technicien   technicienne des travaux forestiers technicien   technicienne du genie rural technicien   technicienne du genie sanitaire et environnement technicien   technicienne en agriculture biologique technicien   technicienne en alimentation animale technicien   technicienne en fabrication fromagere technicien   technicienne equin technicien   technicienne horticole technicien   technicienne ovin technicien   technicienne porcin technicien   technicienne semences technicien   technicienne viticole technicien foncier   technicienne fonciere technicien foncier   technicienne fonciere en agriculture technicien forestier   technicienne forestiere technicien forestier   technicienne forestiere d'etudes et de recherche technicien laitier   technicienne laitiere 
7,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,controle et diagnostic technique en agriculture a1302,realise les operations de controle ou de diagnostic (surveillance  prelevements  releves de mesures) sur les lieux de production (elevages  abattoirs  ...) et de stockage (chambre froide  silo  ...) selon les regles d'hygiene  de securite et la reglementation sanitaire et environnementale. peut proceder a des controles de conformite et verbaliser les contrevenants a la reglementation. peut coordonner une equipe. ,competences de base savoir-faire savoirs identifier les priorites d'intervention (controles  releves  ...) en fonction de la planification annuelle et determiner le materiel approprie reperer et signaler des anomalies controler l'etat des stocks reperer une irregularite dans un registre verifier le contenu d'un registre de suivi de production ou d'elevage relever les donnees de performance individuelle des animaux (quantite et qualite du lait  prise de poids  ...) prelever des echantillons de matieres ou de produits  les referencer et les enregistrer pour analyse accompagner la mise en oeuvre d'actions preventives et curatives preconiser des actions preventives ou curatives transmettre un rapport d'inspection et de controle aux services concernes etablir un rapport d'inspection et de controle assister techniquement un professionnel prelevement biologique utilisation d'outils de pesage dosage (balance  verre doseur  ...) produits phytosanitaires reglementation phytosanitaire normes environnementales normes qualite elevage regles d'hygiene et de securite tracabilite des produits proprietes des produits veterinaires physiologie animale outils bureautiques ,avec_bac bio industries transformation_avec_bts agricole industrie alimentaire acces aux instances veterinaires effectue concours avec_bac,agent   agente de collecte d'embryons agent   agente de production laitiere agent   agente sanitaire apicole agent   agente sanitaire de l'agriculture agent   agente technique agricole agent   agente technique d'elevage agent   agente technique en produits de traitement assistant   assistante sanitaire apicole controleur   controleuse de croissance de l'agriculture controleur   controleuse de culture controleur   controleuse de performance controleur   controleuse viticole controleur laitier   controleuse laitiere controleur-pointeur   controleuse-pointeuse inseminateur artificiel   inseminatrice artificielle peseur laitier   peseuse laitiere technicien   technicienne agricole technicien   technicienne de controle de croissance de l'agriculture technicien   technicienne de controle laitier technicien   technicienne de production laitiere technicien   technicienne des services veterinaires 
8,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,ingenierie en agriculture et environnement naturel a1303,conduit des etudes ou des projets scientifiques et technico-economiques (etude de filiere  amenagement et gestion de l'eau  mise en valeur et conservation du patrimoine  ...) selon les orientations institutionnelles et projets d'amenagement du territoire  d'implantation d'exploitations et la reglementation environnementale. peut mettre en oeuvre des appels d'offres et proceder au controle des realisations. peut former ou sensibiliser differents publics. peut coordonner une equipe. ,competences de base savoir-faire savoirs identifier les themes de projets de recherche en fonction des evolutions du secteur definir un avant-projet definir la faisabilite et la rentabilite d'un projet planifier les etapes d'un projet determiner des protocoles d'experimentation assister techniquement une collectivite  un industriel mener des etudes et experimentations a des fins d'innovation communiquer un diagnostic sur des risques environnementaux ou sanitaires aux elus  institutionnels  organismes et leur apporter un appui technique suivre la mise en oeuvre d'actions de prevention des risques preconiser des mesures environnementales etablir un rapport d'etude etablir un rapport de recherche agronomie biologie hydrobiologie toxicologie botanique climatologie ecologie economie sociale economie du developpement durable caracteristiques des ecosystemes normes environnementales reglementation des installations classees pour la protection de l'environnement - icpe prevention des risques environnementaux genie rural production animale techniques culturales droit rural gestion de projet systeme d'information geographique (sig) logiciels de gestion de base de donnees reglementation phytosanitaire ,avec_master diplome_ingenieur master recherche agriculture agronomie environnement amenagement doctorat chercheurs agronomie genie rural environnement avec_bts agricole production animale technologies vegetales experience 5 10 ans acces collectivites territoriales organismes publics effectue concours langue_etrangere anglais,agro-economiste bio-ingenieur   bio-ingenieure charge   chargee d'etudes agricoles charge   chargee d'etudes du patrimoine naturel charge   chargee d'etudes economiques en agriculture charge   chargee d'etudes en biodiversite charge   chargee d'etudes en developpement agricole charge   chargee d'etudes en developpement rural charge   chargee d'etudes environnement charge   chargee de mission biodiversite charge   chargee de mission en agriculture charge   chargee de recherche en agriculture experimentateur   experimentatrice en agriculture expert   experte cynegetique expert   experte en aquaculture expert agricole et foncier   experte agricole et fonciere expert forestier   experte forestiere ingenieur   ingenieure agro-environnement ingenieur   ingenieure agro-halieute ingenieur   ingenieure agronome ingenieur   ingenieure arboricole ingenieur   ingenieure d'etudes et de recherche agricoles ingenieur   ingenieure des eaux et forets ingenieur   ingenieure des techniques forestieres ingenieur   ingenieure des travaux agricoles ingenieur   ingenieure des travaux des eaux et forets ingenieur   ingenieure des travaux ruraux ingenieur   ingenieure du genie rural ingenieur   ingenieure du genie rural des eaux et forets -igref- ingenieur   ingenieure ecologue ingenieur   ingenieure en experimentation animale ingenieur   ingenieure en experimentation vegetale ingenieur   ingenieure en techniques d'experimentation animale ingenieur   ingenieure halieute ingenieur   ingenieure horticole ingenieur   ingenieure methanisation ingenieur   ingenieure paysagiste 
9,agriculture et pêche  espaces naturels et espaces verts  soins aux animaux,aide agricole de production fruitiere ou viticole a1401,realise des operations simples manuelles d'entretien de cultures  de recolte de fruits et de vendange selon les regles d'hygiene  les normes environnementales et les imperatifs de production (rendement  delai  ...). peut realiser des operations de conditionnement des produits. ,competences de base savoir-faire savoirs conditionner un produit selon les caracteristiques et les modes de transport identifier un lieu d'intervention identifier le type d'intervention entretenir une plantation recolter un produit agricole entretenir un outil ou materiel realiser l'entretien du materiel techniques d'eclaircissage techniques d'ebourgeonnage techniques de palissage maintenance de premier niveau regles d'hygiene et de securite techniques de conditionnement gestes et postures de manutention outils manuels agricoles normes qualite ,sans_diplome_ni_experience recrutements contrats_travail saisonniers,aide agricole en arboriculture aide agricole en production fruitiere aide agricole en viticulture aide arboricole aide-arboriculteur   aide-arboricultrice aide-pepinieriste aide viticole aide-viticulteur   aide-viticultrice cueilleur   cueilleuse de cerises cueilleur   cueilleuse de fruits cueilleur   cueilleuse de peches cueilleur   cueilleuse de poires cueilleur   cueilleuse de pommes planteur   planteuse de bananes porteur   porteuse de hottes vendangeur   vendangeuse 
